agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2021-11-12 12:30,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 12:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 13:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 13:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 13:30,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 13:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 14:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 14:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 14:30,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 14:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 15:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 15:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 15:30,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 15:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 16:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 16:15,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 16:30,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 16:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 17:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-12 17:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 17:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 17:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 18:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 18:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 18:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 18:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 19:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 19:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 19:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 19:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 20:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 20:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 20:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 20:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 21:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 21:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 21:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 21:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 22:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-12 22:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-12 22:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-12 22:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-12 23:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-12 23:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-12 23:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-12 23:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 00:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 00:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 00:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 00:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 01:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 01:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 01:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 01:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 02:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 02:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 02:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 02:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 03:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 03:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 03:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 03:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 04:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 04:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 04:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 04:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 05:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 05:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 05:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 05:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 06:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 06:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 06:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 06:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 07:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 07:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 07:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 07:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 08:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 08:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 08:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 08:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 09:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 09:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 09:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 09:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 10:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 10:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 10:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 10:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 11:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 11:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 11:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 11:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 12:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 12:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 12:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 12:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 13:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 13:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 13:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 13:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 14:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 14:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 14:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 14:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 15:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 15:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 15:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 15:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 16:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 16:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 16:30,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 16:45,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 17:00,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 17:15,EST,8.95,P,1.10,P
USGS,02085070,2021-11-13 17:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 17:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 18:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 18:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 18:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 18:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 19:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 19:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 19:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 19:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 20:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 20:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 20:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 20:45,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 21:00,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 21:15,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 21:30,EST,9.20,P,1.11,P
USGS,02085070,2021-11-13 21:45,EST,9.45,P,1.12,P
USGS,02085070,2021-11-13 22:00,EST,9.45,P,1.12,P
USGS,02085070,2021-11-13 22:15,EST,9.45,P,1.12,P
